Frase;Implicito/Explicito;Funcionalidade Desejada

Tá mó escuro aqui;implicito;Acender a lâmpada.

Não to enxergando nada;implicito;Acender a lâmpada.

Acende a luz ai;explicito;Acender a lâmpada.

Apaga a luz ai;explicito;Apagar a lâmpada.

Tá mó claro aqui;implicito;Apagar a lâmpada.

Não consigo dormir de luz acessa;implicito;Apagar a lâmpada.

Tá mó calor aqui;implicito;Ligar o ventilador.

To suando de tanto calor;implicito;Ligar o ventilador.

Liga o ventilador ai;explicito;Ligar o ventilador.

Tá meio frio;implicito;Desligar o ventilador.

Tá ventando demais;implicito;Desligar o ventilador.

Desliga o ventilador ai;explicito;Desligar o ventilador.

To afim de assistir televisão;implicito;Ligar a televisão.

Bora ligar a tv;explicito;Ligar a televisão.

Liga a televisão ai;explicito;Ligar a televisão.

Não consigo estudar com a televisão ligada;implicito;Desligar a televisão.

A tv ta ligada atoa;implicito;Desligar a televisão.

Alguém desliga essa televisão;explicito;Desligar a televisão.

Não to escutando nada;implicito;Aumentar o volume.

Esse volume tá muito baixo;implicito;Aumentar o volume.

Aumenta a tv ai;explicito;Aumentar o volume.

Essa televisão ta muito alta;implicito;Diminuir o volume.

Vou atender o telefone, diminui o volume ai;explicito;Diminuir o volume.

Esse barulho tá me incomodando;implicito;Diminuir o volume.

Eu não gosto desse programa;implicito;Trocar de canal.

O jogo vai começar agora, muda o canal ai;explicito;Trocar de canal.

Não gosto desse canal;implicito;Trocar de canal.

Hum, tá muito escuro aqui.;implicito;Acender a lâmpada.

Não to vendo nada.;implicito;Acender a lâmpada.

Acende a luz.;explicito;Acender a lâmpada.

Ta meio escuro.;implicito;Acender a lâmpada.

Apaga a luz ai.;explicito;Apagar a lâmpada.

Ta muito claro.;implicito;Apagar a lâmpada.

Minha vista ta doendo com essa claridade.;implicito;Apagar a lâmpada.

Ta bem quente aqui.;implicito;Ligar o ventilador.

Não to aguentando esse calor.;implicito;Ligar o ventilador.

Abriu o portão do inferno ?;implicito;Ligar o ventilador.

Ta meio frio aqui.;implicito;Desligar o ventilador.

Já refrescou bem.;implicito;Desligar o ventilador.

Desliga o ventilador ai.;explicito;Desligar o ventilador.

Será que tem algo de bom na tv ?;implicito;Ligar a televisão.

Quero ver tv.;implicito;Ligar a televisão.

Liga a tv, por favor.;explicito;Ligar a televisão.

Ta chato essa tv já.;implicito;Desligar a televisão.

Desliga a tv.;explicito;Desligar a televisão.

Não quero mais ver tv.;implicito;Desligar a televisão.

Não to ouvindo nada.;implicito;Aumentar o volume.

O som ta muito baixo.;implicito;Aumentar o volume.

Assim não tem como ouvir.;implicito;Aumentar o volume.

Esse som ta me estressando.;implicito;Diminuir o volume.

Não da pra me concentrar com esse som alto.;implicito;Diminuir o volume.

Abaixa o som.;explicito;Diminuir o volume.

Que canal chato.;implicito;Trocar de canal.

Troca o canal ai.;explicito;Trocar de canal.

To vendo nada!;implicito;Apagar a lâmpada.

Que calor, deus.;implicito;Ligar o ventilador.

Grr, esfriou bastante em!;implicito;Desligar o ventilador.

Será que tem algo interessante na tv?;implicito;Ligar a televisão.

Ta passando nada de bom aqui!;implicito;Desligar a televisão.

Que? to ouvindo nada nesta tv.;implicito;Aumentar o volume.

Esse volume ta muito baixo;implicito;Aumentar o volume.

Que?? A tv não deixa eu te ouvir!;implicito;Diminuir o volume.

Que escuridão;implicito;Acender a lâmpada.

Ta claro demais para dormir;implicito;Apagar a lâmpada.

A ventilação aqui esta horrível;implicito;Ligar o ventilador.

Esse canal não esta legal;implicito;Trocar de canal.

To enxergando nada;implicito;Acender a lâmpada.

Que friiiiio!!!;implicito;Desligar o ventilador.

Bom, vou ir dormir!;implicito;Desligar a televisão.

Esse programa é chato.;implicito;Desligar a televisão.

Cansei de tv por hoje!;implicito;Desligar a televisão.

Vou assistir tv agora!;implicito;Ligar a televisão.

Preciso abaixar o volume;explicito;Diminuir o volume.

Preciso aumentar o volume;explicito;Aumentar o volume.

Preciso dar uma refrescada;implicito;Ligar o ventilador.

Troca de canal;explicito;Trocar de canal.

Propagando péssima;implicito;Trocar de canal.

Esta muito abafado aqui;implicito;Ligar o ventilador.

O volume esta alto;implicito;Diminuir o volume.

Estou derretendo de calor;implicito;Ligar o ventilador.

Quero assistir um filme;implicito;Ligar a televisão.

Tá escuro!;implicito;Acender a lâmpada.

Acende a luz!;explicito;Acender a lâmpada.

Luz, por favor!;implicito;Acender a lâmpada.

Apague essa luz!;explicito;Apagar a lâmpada.

Apagar luzes!;explicito;Apagar a lâmpada.

Desligar luzes!;explicito;Apagar a lâmpada.

Está muito quente aqui!;implicito;Ligar o ventilador.

Ligar ventilador!;explicito;Ligar o ventilador.

Liga o vento, por favor!;explicito;Ligar o ventilador.

Desliga esse ventilador!;explicito;Desligar o ventilador.

Ventilador, desligar!;explicito;Desligar o ventilador.

Está frio! Desliga o ventilador!;explicito;Desligar o ventilador.

Quero ver televisão!;implicito;Ligar a televisão.

Liga a TV!;explicito;Ligar a televisão.

TV, ligar!;explicito;Ligar a televisão.

Cansei de TV por hoje!;implicito;Desligar a televisão.

Não quero mais ver televisão!;implicito;Desligar a televisão.

Desligar a TV!;explicito;Desligar a televisão.

Aumente o volume!;explicito;Aumentar o volume.

O volume está baixo!;implicito;Aumentar o volume.

Aumenta o som!;explicito;Aumentar o volume.

O som está muito alto!;implicito;Diminuir o volume.

Diminuir o som!;explicito;Diminuir o volume.

Diminua o volume!;explicito;Diminuir o volume.

Esse programa está chato!;implicito;Trocar de canal.

Mude de canal!;explicito;Trocar de canal.

Não quero ver esse canal!;implicito;Trocar de canal.

Tá escuro demais, não consigo ver nada.;implicito;Acender a lâmpada.

Acende a lâmpada aí por favor?;explicito;Acender a lâmpada.

Não consigo ler, tá escuro aqui.;implicito;Acender a lâmpada.

Tá muito claro, não consigo dormir.;implicito;Apagar a lâmpada.

Essa luz tá me atrapalhando a ver.;implicito;Apagar a lâmpada.

Tá muito calor aqui.;implicito;Ligar o ventilador.

Liga o ventilador?;explicito;Ligar o ventilador.

Tá quente demais hoje.;implicito;Ligar o ventilador.

Tô sentindo muito frio.;implicito;Desligar o ventilador.

